title,my_score,weight,replayed,release_year,notes
Super Mario Bros.,10,1,1,,
Super Mario Bros. 2,8,1,1,,
Super Mario Bros. 3,10,5,1,,
Super Mario World,10,5,1,,
Super Mario 64,10,5,1,,
Super Mario Sunshine,9,5,1,,
Super Mario Galaxy,9,2,1,,"I think this game is good given that it is focused on motion controls. I tried the Switch version that includes pro controller support and it didn’t work for me. The motion controls make the most sense to play it, but I still don’t like it."
Super Mario Galaxy 2,9,2,1,,Same notes for Super Mario Galaxy
Super Mario 3D Land,8,3,0,,
Super Mario 3D World,8,3,0,,
Super Mario Odyssey,9,5,0,,
Super Mario Bros. Wonder,9,5,0,,
New Super Mario Bros.,7,4,0,,
New Super Mario Bros. Wii,7,4,0,,
New Super Mario Bros. U,8,4,0,,
Super Mario RPG,10,5,1,,
Paper Mario,10,5,1,,
Paper Mario: The Thousand-Year Door,10,5,1,,
Super Paper Mario,7,5,0,,This is when the Paper Mario series went off the cliff and got away from what made the first two games good.
Super Mario Kart,7,5,1,,
Mario Kart 64,9,5,1,,
Mario Kart: Double Dash!!,9,5,1,,
Mario Kart Wii,7,5,1,,
Mario Kart 8 Deluxe,10,5,1,,
Mario Kart World,9,5,1,,
The Legend of Zelda,10,1,1,,
Zelda II: The Adventure of Link,7,1,1,,
The Legend of Zelda: A Link to the Past,10,5,1,,
The Legend of Zelda: Link's Awakening,10,5,1,,"Consider the Switch version, not the Game Boy version"
The Legend of Zelda: Ocarina of Time,10,5,1,,
The Legend of Zelda: Majora's Mask,10,5,1,,
The Legend of Zelda: Oracle of Ages,9,5,1,,
The Legend of Zelda: Oracle of Seasons,9,5,1,,
The Legend of Zelda: The Wind Waker,10,5,1,,
The Legend of Zelda: The Minish Cap,9,5,1,,
The Legend of Zelda: Twilight Princess,10,5,1,,This is my favorite Zelda game of all time
The Legend of Zelda: Phantom Hourglass,7,5,1,,These games weren’t as good because of the DS touchscreen controls
The Legend of Zelda: Spirit Tracks,7,5,1,,Same as The Legend of Zelda: Phantom Hourglass
The Legend of Zelda: Skyward Sword,7,5,1,,"The Switch version motion controls plays better, but there’s still things about the game that make me not like it"
The Legend of Zelda: A Link Between Worlds,7,5,1,,
The Legend of Zelda: Breath of the Wild,9,5,1,,"What I love the most about Zelda games is the dungeon puzzles and as amazing as this game is, the dungeons are the weakest part."
The Legend of Zelda: Tears of the Kingdom,9,5,1,,Same as The Legend of Zelda: Breath of the Wild
Hyrule Warriors,7,5,0,,"Played these because they’re connected to Zelda, but as a spinoff of the Dynasty Warriors games, they’re not really my favorite."
Hyrule Warriors: Age of Calamity,7,5,0,,Same as Hyrule Warriors
Hyrule Warriors: Age of Imprisonment,7,5,0,,Same as Hyrule Warriors
Metroid,8,1,1,,
Super Metroid,9,5,1,,The game plays slower than I remember
Metroid Fusion,9,5,1,,
Metroid: Zero Mission,9,5,1,,
Metroid Prime,10,5,1,,"Consider the Switch Remaster version, not the GameCube version"
